Company Name,Ratings,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,Highly Rated for,Critical Rated for,Industry,Location
Persistent Systems,3.6,5000,45700,713,283,369,33,,"Promotions / Appraisal, Job Security, Work Satisfaction",IT Services & Consulting,Pune +41 other locations
State Bank of India,3.8,4900,11700,314,10,400,5,"Job Security, Skill Development / Learning, Salary & Benefits",,Banking,Mumbai +622 other locations
Atos,3.8,4900,33700,410,101,456,10,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting,Pune +49 other locations
vivo,4.1,4900,13100,242,6,643,3,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,Consumer Electronics & Appliances,Noida +415 other locations
KEC International,4,4900,13500,422,16,442,54,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,Engineering & Construction,Mumbai +313 other locations
Ecom Express,4,4800,9400,264,,323,39,"Work Life Balance, Company Culture, Work Satisfaction",,Logistics,Gurugram +778 other locations
Amdocs,3.6,4800,37400,562,14,614,20,,"Promotions / Appraisal, Job Security, Work Satisfaction",Software Product,Pune +24 other locations
ITC Infotech,3.8,4800,29700,420,93,281,11,"Work Life Balance, Job Security",Promotions / Appraisal,IT Services & Consulting,Bengaluru +68 other locations
JBM Group,3.9,4800,14000,352,53,342,21,"Job Security, Skill Development / Learning",Promotions / Appraisal,Auto Components,Gurugram +118 other locations
Varun Beverages,4,4800,11900,352,56,321,31,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Beverage,New Delhi +383 other locations
Eviden,3.6,4800,27300,316,1,1,11,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Pune +39 other locations
Nagarro,3.9,4700,32800,836,332,1100,19,"Company Culture, Work Life Balance",Promotions / Appraisal,IT Services & Consulting,Gurugram +49 other locations
Bosch,4.1,4600,21000,383,,599,18,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Auto Components,Bengaluru +132 other locations
