Company Name,Ratings,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,Highly Rated for,Critical Rated for,Industry,Location
Kiran Foreign Trade,3,185,867,25,,21,,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Software Product,Sahibzada Ajit Singh Nagar +10 other locations
Ubique Systems,3.8,185,712,28,1,6,,Work Life Balance,Promotions / Appraisal,Recruitment,Kolkata +11 other locations
Profinch Solutions,3.5,185,1400,21,14,9,,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",FinTech,Bengaluru +6 other locations
Zuari Agro Chemicals,3.9,185,643,7,,21,,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Agro Chemicals,Vasco Da Gama +55 other locations
Givaudan,4.1,185,1100,7,15,32,,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,Beauty & Personal Care,Pune +10 other locations
Samsung Semiconductor,3.1,185,1500,22,,9,,,"Company Culture, Work Satisfaction, Promotions / Appraisal",Semiconductors,Bengaluru +6 other locations
INDIA TODAY GROUP,3.6,185,1200,12,,20,,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Media & Entertainment,Noida +12 other locations
FreshersNow,4,185,218,55,,4,,"Skill Development / Learning, Company Culture, Work Satisfaction",,,Hyderabad +39 other locations
PS Group,3.7,185,719,19,2,14,,,"Promotions / Appraisal, Job Security, Work Satisfaction",Real Estate,Kolkata +10 other locations
Kumar Organic Products,3.5,185,875,15,8,14,,Job Security,"Company Culture, Work Satisfaction, Promotions / Appraisal",Chemicals,Bengaluru +16 other locations
Celon Laboratories,3.4,184,798,9,4,13,,,"Job Security, Promotions / Appraisal, Company Culture",Pharma,Hyderabad +23 other locations
Edunet Foundation,4.1,185,339,18,3,2,,"Work Life Balance, Skill Development / Learning, Work Satisfaction",Salary & Benefits,Non-Profit,Bengaluru +44 other locations
Psychotropics India,3.9,184,651,3,1,12,2,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal,Pharma,Haridwar +17 other locations
Carwale,3.4,184,1100,49,7,24,11,Job Security,"Salary & Benefits, Promotions / Appraisal, Company Culture",Internet,Mumbai +21 other locations
TALENTEDGE,3.2,184,938,20,2,17,8,,"Work Life Balance, Work Satisfaction, Job Security",EdTech,Pune +11 other locations
Hyundai Heavy Industries,3.7,184,371,10,,28,,,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",Industrial Machinery,Pune +17 other locations
Biesse Manufacturing,3.7,185,925,17,,17,,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Architecture & Interior Design,Bengaluru +8 other locations
Vikas Money,4.7,184,54,15,,1,,"Skill Development / Learning, Company Culture, Work Life Balance",,NBFC,Palakkad +9 other locations
Ecolab Digital Center,3.4,184,1600,25,,8,,,"Promotions / Appraisal, Job Security, Skill Development / Learning",Chemicals,Bengaluru +3 other locations
Kundan Group,3.2,185,633,18,13,1,1,,"Promotions / Appraisal, Job Security, Company Culture",Jewellery,New Delhi +21 other locations
Gates,3.7,184,930,12,8,21,,"Work Life Balance, Salary & Benefits","Promotions / Appraisal, Job Security, Work Satisfaction",Industrial Automation,Faridabad +19 other locations
L&T Infrastructure Development Projects,4,184,1200,10,,12,,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,Engineering & Construction,Chennai +39 other locations
International Travel House,3.9,184,645,6,5,20,,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Hospitality,New Delhi +20 other locations
Accutest Research Laboratories,3.2,184,761,7,,15,,,"Promotions / Appraisal, Salary & Benefits, Job Security",Clinical Research,Mumbai +7 other locations
The Hindu Group,3.8,184,905,10,1,15,,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",Printing & Publishing,Chennai +19 other locations
CPC Diagnostics,3.8,184,607,12,1,13,,,"Promotions / Appraisal, Job Security, Work Satisfaction",Medical Equipment,Chennai +29 other locations
HLE Glascoat,3.3,184,769,7,,13,,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Industrial Machinery,Anand +9 other locations
Shakti Hormann,3.6,184,697,21,19,13,1,,"Promotions / Appraisal, Company Culture, Skill Development / Learning",Building Material,Hyderabad +16 other locations
Overseas Health Care,3.1,184,444,15,,13,,,"Job Security, Promotions / Appraisal, Company Culture",Pharma,Phillaur +42 other locations
Nandi Toyota,3.8,184,525,16,,19,,"Company Culture, Skill Development / Learning",,Automobile,Bengaluru +6 other locations
Fabtech Projects & Engineers,3.8,185,784,16,1,10,,"Work Life Balance, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal,Engineering & Construction,Pune +20 other locations
HEUBACH Colour,4,184,910,11,,19,,Work Life Balance,Promotions / Appraisal,Chemicals,Ankleshwar +14 other locations
Sigma Supply Chain Solutions,3.4,184,459,4,,8,,,"Promotions / Appraisal, Job Security, Company Culture",Logistics,Noida +47 other locations
SAT n paper,4.4,185,134,27,3,2,,"Company Culture, Skill Development / Learning, Work Satisfaction",,,New Delhi +4 other locations
Rimini Street,4,184,914,8,29,15,1,"Work Life Balance, Company Culture, Salary & Benefits","Skill Development / Learning, Promotions / Appraisal",IT Services & Consulting,Hyderabad +2 other locations
Sequretek It Solutions,3.4,184,1100,11,11,6,5,,"Promotions / Appraisal, Job Security, Salary & Benefits",Emerging Technologies,Mumbai +10 other locations
Invenio Business Solutions,3.5,184,1500,10,9,16,6,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",IT Services & Consulting,Hyderabad +6 other locations
Excel Industries,3.9,184,924,16,,11,,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Agro Chemicals,Mumbai +24 other locations
Hero Future Energies,4.1,184,937,9,4,20,,"Job Security, Work Life Balance, Company Culture",,Power,New Delhi +19 other locations
Eagle Infra,4,191,864,12,,20,,"Work Life Balance, Salary & Benefits, Company Culture",,Engineering & Construction,Mumbai +46 other locations
"MIDLAND CREDIT MANAGEMENT, INC.",3.7,184,846,12,7,26,,Company Culture,"Promotions / Appraisal, Salary & Benefits",Financial Services,Gurugram +6 other locations
NexTurn,3.9,184,307,37,59,6,7,"Skill Development / Learning, Company Culture, Work Life Balance",,IT Services & Consulting,Hyderabad +2 other locations
AlmaBetter,3.8,183,751,24,2,1,,"Work Life Balance, Skill Development / Learning",Job Security,,Bengaluru +11 other locations
Burman Hospitality,3.8,183,645,10,20,15,,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Hospitality,New Delhi +26 other locations
Towell Engineering Group,3.7,183,500,10,,32,,Job Security,"Promotions / Appraisal, Company Culture, Work Life Balance",Engineering & Construction,Muscat +13 other locations
Monginis Foods,3.5,183,682,8,,19,,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Food Processing,Mumbai +28 other locations
Appiness Interactive,4.4,183,586,10,6,2,,"Company Culture, Work Life Balance, Work Satisfaction",,IT Services & Consulting,Bengaluru +5 other locations
Ambuja Cement Foundation,3.9,183,479,13,2,11,,"Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Non-Profit,Jaipur +62 other locations
APOLLO POWER SYSTEMS,3.8,183,571,15,,13,1,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",Electrical Equipment,Bengaluru +9 other locations
Toyo INK,4.1,183,852,11,,18,,"Work Life Balance, Job Security, Company Culture",,Chemicals,Greater Noida +14 other locations
HomeBazaar.com,3.8,184,624,19,127,11,22,"Company Culture, Salary & Benefits","Job Security, Promotions / Appraisal",Real Estate,Mumbai +9 other locations
Krystal Integrated Services Limited,4.1,183,717,9,2,10,,"Company Culture, Work Life Balance, Job Security",,Facility Management Services,Mumbai +25 other locations
Afflatus Gravures,3.8,183,684,16,5,13,7,,"Promotions / Appraisal, Company Culture, Job Security",Printing & Publishing,Noida +13 other locations
Private Practice,4.5,183,3100,15,,9,,"Skill Development / Learning, Work Satisfaction, Work Life Balance",,,New Delhi +74 other locations
Solverminds Solutions and Technologies,3.3,183,1300,20,11,6,3,,"Company Culture, Work Life Balance, Promotions / Appraisal",IT Services & Consulting,Chennai +4 other locations
C.G. Marketing,4,183,526,4,1,21,3,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,Marketing & Advertising,Pune +20 other locations
Essencea Infoserv,2.7,183,467,18,,3,,,"Promotions / Appraisal, Salary & Benefits, Job Security",BPO,Hyderabad +7 other locations
Target Engineering Construction Company,3.9,183,480,12,,15,,"Job Security, Work Life Balance",Promotions / Appraisal,Engineering & Construction,Abu Dhabi +16 other locations
WNS Denali,3.5,183,766,26,,6,,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Management Consulting,Pune +10 other locations
Cex Webuy Entertainment,3.4,183,1100,22,9,25,,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Retail,Mumbai +10 other locations
Shemaroo Entertainment,3.6,183,1000,9,8,14,,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",Media & Entertainment,Mumbai +3 other locations
DesiCrew Solutions,3.1,184,705,15,29,9,,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Financial Services,Chennai +14 other locations
TalentServe,2,183,123,25,,2,1,,"Work Satisfaction, Job Security, Promotions / Appraisal",Software Product,Mumbai +8 other locations
Reliance Smart Point,4.3,183,405,21,,9,1,"Skill Development / Learning, Company Culture, Work Life Balance",,,Bengaluru +78 other locations
Virbac Animal Health,4.1,183,378,6,,19,,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal,Pharma,Mumbai +57 other locations
Mukand Sumi Special Steel,3.7,193,663,15,,8,,Job Security,"Promotions / Appraisal, Work Satisfaction",Iron & Steel,Hosapete +9 other locations
Panchshil Realty,4.2,184,906,13,,13,,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Real Estate,Pune +4 other locations
Phenix Construction Technologies,4,183,773,16,,32,,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal,Engineering & Construction,Ahmedabad +13 other locations
Zenoti,2.8,183,1500,50,23,20,,,"Work Satisfaction, Company Culture, Promotions / Appraisal",IT Services & Consulting,Hyderabad +3 other locations
Raptim Research,4.4,183,923,14,,15,,"Job Security, Work Life Balance, Company Culture",,Clinical Research,Mumbai +4 other locations
CivilMantra Infracon Private Limited,3.8,190,215,16,2,11,34,"Company Culture, Work Satisfaction, Promotions / Appraisal",,Engineering & Construction,Gurugram +4 other locations
Citylife Retail,4,182,361,7,,17,,,"Company Culture, Job Security, Salary & Benefits",Retail,Kolkata +46 other locations
Maksat Technologies,3.4,182,617,10,,18,,,"Promotions / Appraisal, Salary & Benefits, Job Security",Telecom,New Delhi +36 other locations
Burger Singh,3.6,182,554,16,12,3,,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Hospitality,New Delhi +30 other locations
Childline India Foundation,4.2,182,398,8,,27,3,"Work Life Balance, Work Satisfaction, Skill Development / Learning","Promotions / Appraisal, Job Security, Salary & Benefits",Non-Profit,Mumbai +69 other locations
Central Institute of Plastics Engineering & Technology,3.7,182,631,4,,22,,,"Promotions / Appraisal, Company Culture, Job Security",Education & Training,Chennai +36 other locations
Sunera Technologies,3.5,182,1700,25,,17,3,,"Promotions / Appraisal, Job Security, Skill Development / Learning",IT Services & Consulting,Hyderabad +5 other locations
Creative Group,4.1,182,722,23,,4,13,"Work Life Balance, Company Culture, Work Satisfaction",,Architecture & Interior Design,New Delhi +19 other locations
Kent,3.6,182,738,7,,6,2,,"Promotions / Appraisal, Job Security, Company Culture",Financial Services,Noida +55 other locations
Heavy Engineering Corporation,3.6,182,728,11,,22,1,,"Salary & Benefits, Promotions / Appraisal",Engineering & Construction,Ranchi +9 other locations
Bambino Agro Industries,4,182,751,8,2,17,,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,Food Processing,Hyderabad +30 other locations
Accurate Engineering Company,3.2,182,911,11,12,17,,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Industrial Machinery,Pune +26 other locations
U.S. Polo Assn,4.4,182,473,8,,16,,"Work Life Balance, Work Satisfaction, Job Security",,Retail,Bengaluru +54 other locations
Commerce Pundit,4.4,182,601,30,2,14,12,"Company Culture, Work Life Balance, Work Satisfaction",,IT Services & Consulting,Ahmedabad +7 other locations
NMTronics India Private Limited,3.2,183,453,31,6,11,,,"Work Life Balance, Promotions / Appraisal, Company Culture",Electronics Manufacturing,Noida +10 other locations
Elsevier,3.7,182,1300,23,156,13,31,Work Life Balance,Promotions / Appraisal,Printing & Publishing,Bengaluru +11 other locations
Jeena & Company,3.6,182,628,10,10,19,16,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",Logistics,Mumbai +24 other locations
TechMojo Solutions,4,182,1400,34,11,9,5,"Job Security, Salary & Benefits, Work Satisfaction",,IT Services & Consulting,Hyderabad +1 other locations
The Pride Hotel,3.1,182,687,10,14,20,,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Hospitality,Pune +22 other locations
SEG Automotive,3.9,182,1200,11,3,14,,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Auto Components,Bengaluru +7 other locations
Fangs Technology,4.1,182,737,6,,17,,"Skill Development / Learning, Job Security, Company Culture",Salary & Benefits,Consumer Electronics & Appliances,Chennai +24 other locations
Dr. Willmar Schwabe India,3.9,182,484,8,1,13,,"Work Life Balance, Company Culture, Salary & Benefits",Skill Development / Learning,Healthcare,Noida +29 other locations
C-quel Management Services,4.3,182,209,13,,79,,"Job Security, Company Culture, Work Life Balance",,Accounting & Auditing,Kolkata +14 other locations
Cyient DLM,3.8,182,790,11,,10,2,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",,Hyderabad +5 other locations
Corrtech International,3.2,182,704,3,,7,4,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Engineering & Construction,Ahmedabad +44 other locations
Minda Stoneridge Instruments,3.4,182,899,18,,5,,,"Company Culture, Work Life Balance, Work Satisfaction",Auto Components,Pune +7 other locations
Mitsuba,3.6,182,711,6,,17,,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Auto Components,Gurugram +13 other locations
EbixCash Financial Technologies,2.8,182,1100,6,8,8,,,"Promotions / Appraisal, Salary & Benefits, Company Culture",IT Services & Consulting,Pune +14 other locations
DSM SOFT,3,182,800,12,7,13,,,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",IT Services & Consulting,Tiruchirappalli +6 other locations
Incrementors Web Solutions,3.9,182,185,25,,48,,"Company Culture, Skill Development / Learning, Work Life Balance",Salary & Benefits,Financial Services,New Delhi +3 other locations
OASYS Tech Solutions,3.7,182,535,12,,5,8,Skill Development / Learning,,IT Services & Consulting,Bhubaneswar +16 other locations
cFIRST,3.8,182,655,7,,38,,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Recruitment,Ahmedabad +7 other locations
Cinda Engineering & Construction,4.1,182,747,15,4,9,1,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,Engineering & Construction,Noida +13 other locations
A2Z Infraservices,4.1,182,456,10,3,18,1,"Work Life Balance, Company Culture, Work Satisfaction",,Facility Management Services,New Delhi +22 other locations
Pegasus InfoCorp,2.8,182,1100,20,,16,,,"Job Security, Company Culture, Skill Development / Learning",IT Services & Consulting,Mumbai +10 other locations
DesignCafe,3.3,182,1200,12,44,11,36,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",Architecture & Interior Design,Bengaluru +9 other locations
Ring Plus Aqua,4.2,182,693,14,,10,,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,Auto Components,Nashik +7 other locations
Cadworks India,4.8,182,61,10,,6,,"Skill Development / Learning, Company Culture, Work Life Balance",,Design,New Delhi +6 other locations
Sagar Hospital,4.3,181,604,6,4,15,,"Work Life Balance, Company Culture, Work Satisfaction",,Healthcare,Bengaluru +7 other locations
Auto Ignition,3.6,182,631,9,,19,,,"Promotions / Appraisal, Company Culture, Salary & Benefits",Auto Components,Faridabad +9 other locations
AMBITION JOB,4.2,181,78,49,,22,,"Company Culture, Work Satisfaction, Skill Development / Learning",,Recruitment,Hyderabad +27 other locations
Simpa Energy,4.6,181,338,1,,25,,"Company Culture, Work Life Balance, Work Satisfaction",,Power,Noida +32 other locations
Hurix Systems,3.6,181,921,18,21,20,,,"Promotions / Appraisal, Job Security, Skill Development / Learning",Content Development,Chennai +4 other locations
Celio Future Fashion,4.5,181,419,5,,16,1,"Skill Development / Learning, Company Culture, Work Life Balance",,Retail,Mumbai +47 other locations
Advantage One Tax Consulting,4,181,539,11,,17,,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,Financial Services,Hyderabad +4 other locations
Axa Parenterals,3.7,181,738,18,1,17,,,"Promotions / Appraisal, Salary & Benefits",Medical Equipment,Roorkee +9 other locations
Prione Business Services,4.4,181,809,6,,48,,"Company Culture, Skill Development / Learning, Work Life Balance",,Retail,Bengaluru +24 other locations
Oswal Group,3.8,181,671,12,3,3,,,Promotions / Appraisal,Fashion & Textile,Ludhiana +15 other locations
PPMS Field Marketing,3.9,181,486,11,,8,1,"Skill Development / Learning, Work Satisfaction, Work Life Balance",,Marketing & Advertising,Chennai +34 other locations
Monomark Engineering,4.1,182,623,13,11,13,,"Work Life Balance, Skill Development / Learning, Company Culture",,Engineering & Construction,Chittorgarh +25 other locations
Tropilite Foods,3.7,181,573,13,7,13,,,"Promotions / Appraisal, Work Satisfaction",Food Processing,Gwalior +28 other locations
Maschio Gaspardo,3.7,181,739,13,,26,,Work Life Balance,,Industrial Machinery,Pune +27 other locations
Jai Kisan,3.1,181,557,15,,6,6,,"Job Security, Promotions / Appraisal, Company Culture",Internet,Mumbai +32 other locations
Bureau of Indian Standards,4,181,918,21,,4,,"Work Life Balance, Work Satisfaction","Promotions / Appraisal, Job Security",Government,New Delhi +28 other locations
IFB Agro Industries,4,181,685,8,,24,,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning",Beverage,Kolkata +31 other locations
KerryIndev Logistics,3.8,181,1100,4,,7,,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",Logistics,Chennai +32 other locations
Inspiredge IT Solutions,3.9,181,978,12,5,25,,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting,Visakhapatnam +4 other locations
CTR Manufacturing Industries,3.7,181,831,13,53,9,1,Job Security,"Promotions / Appraisal, Salary & Benefits",Industrial Machinery,Pune +10 other locations
Graygraph Technologies Private Limited,4.4,181,605,32,2,2,964,"Work Life Balance, Company Culture, Work Satisfaction",,IT Services & Consulting,Noida +5 other locations
Gunnebo,3.7,181,776,12,,15,,Job Security,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",Defence & Aerospace,Vadodara +13 other locations
Tripjack,4,181,610,35,37,2,22,"Work Life Balance, Company Culture, Work Satisfaction",,Internet,Mumbai +11 other locations
AMS Comtel BPMS,3.1,181,734,10,6,11,5,,"Promotions / Appraisal, Salary & Benefits, Company Culture",IT Services & Consulting,New Delhi +13 other locations
Hindustan Media Ventures,3.7,181,581,6,,11,1,,"Promotions / Appraisal, Job Security, Work Satisfaction",Printing & Publishing,Patna +31 other locations
Gpt Infraprojects,3.9,181,545,7,,11,,"Company Culture, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,Engineering & Construction,Kolkata +26 other locations
KP GROUP,4.1,182,533,19,637,8,2,"Salary & Benefits, Work Life Balance, Job Security",,Logistics,Surat +28 other locations
Bharat Benz,4.3,181,548,9,,24,3,"Work Satisfaction, Job Security, Skill Development / Learning",,Automobile,Chennai +79 other locations
Kyb Motorcycle Suspension,3.8,181,553,15,,14,,"Salary & Benefits, Company Culture","Promotions / Appraisal, Work Satisfaction",Industrial Machinery,Chennai +13 other locations
Swipewire Technologies,3.8,182,995,21,,4,1,Salary & Benefits,,Software Product,Chennai +4 other locations
Stumpp Schuele & Somappa Springs,3.4,181,710,10,,16,,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Industrial Machinery,Bengaluru +8 other locations
Bajaj Markets,3,197,1200,9,,3,,,"Company Culture, Work Life Balance, Promotions / Appraisal",FinTech,Pune +17 other locations
Qube Cinema Technologies,3.8,181,800,7,42,19,,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",Media & Entertainment,Chennai +11 other locations
Naresh i Technologies,4,181,650,14,5,6,,"Skill Development / Learning, Work Satisfaction, Work Life Balance",,IT Services & Consulting,Hyderabad +10 other locations
Impresario Entertainment & Hospitality,4.2,181,621,5,2,23,,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,Hospitality,Mumbai +16 other locations
PC Financial Services,4.1,181,510,11,1,34,,"Company Culture, Work Life Balance, Work Satisfaction",,Financial Services,Gurugram +4 other locations
Eicher Trucks and Buses,4.5,181,525,11,,25,1,"Company Culture, Work Life Balance, Work Satisfaction",,Automobile,Indore +54 other locations
Birla Cellulose,3.5,181,735,12,,17,,,"Promotions / Appraisal, Company Culture, Work Life Balance",Pulp & Paper,Bharuch +15 other locations
Source One Management Services,3.6,181,769,23,,11,2,,"Job Security, Promotions / Appraisal, Work Satisfaction",IT Services & Consulting,Bengaluru +11 other locations
National Aerospace Laboratories,4.3,181,783,14,,27,,"Skill Development / Learning, Work Life Balance, Work Satisfaction","Job Security, Promotions / Appraisal",Defence & Aerospace,Bengaluru +2 other locations
KDK Software,2.8,181,403,20,33,22,2,,"Work Satisfaction, Job Security, Promotions / Appraisal",Software Product,Jaipur +13 other locations
Ess Kay Group,3.7,181,623,13,2,5,5,,"Promotions / Appraisal, Company Culture",Industrial Machinery,Greater Noida +15 other locations
Ghatge Patil Industries,3.8,180,883,3,,5,,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal",Industrial Machinery,Kolhapur +8 other locations
Sistema Shyam Teleservices,4.9,180,242,,,31,,"Work Satisfaction, Salary & Benefits, Company Culture",,Telecom,Gurugram +42 other locations
Apollo Spectra Hospitals,4.4,180,473,16,,15,,"Company Culture, Work Life Balance, Work Satisfaction",,Healthcare,New Delhi +20 other locations
Groupe SEB,3.3,180,737,12,,15,,,"Job Security, Promotions / Appraisal, Company Culture",Consumer Electronics & Appliances,New Delhi +35 other locations
Crescon Projects & Services,3.6,180,687,16,4,9,,Salary & Benefits,"Company Culture, Work Life Balance, Promotions / Appraisal",Engineering & Construction,Chennai +21 other locations
GVK Group,3.8,180,711,12,,14,1,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning",Engineering & Construction,Hyderabad +38 other locations
Radiant Appliances,4.1,180,706,13,1,16,,"Company Culture, Work Life Balance, Job Security",,Electronics Manufacturing,Hyderabad +6 other locations
Vehere Technologies,4.5,180,296,23,11,9,5,"Job Security, Company Culture, Work Life Balance",,IT Services & Consulting,Kolkata +7 other locations
GoMechanic,3.3,180,2000,54,,25,1,,"Job Security, Promotions / Appraisal, Company Culture",Internet,Gurugram +23 other locations
American InfoSource,3.4,180,840,16,21,15,,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",IT Services & Consulting,Vadodara +2 other locations
Laminaar Aviation Infotech,2.6,180,1200,17,,14,3,,"Promotions / Appraisal, Salary & Benefits, Company Culture",IT Services & Consulting,Bengaluru +5 other locations
Vision IAS,2.3,181,650,8,,3,,,"Promotions / Appraisal, Company Culture, Skill Development / Learning",Education & Training,New Delhi +10 other locations
MYND Intergrated Solutions,3.4,181,627,14,,3,4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",BPO,Gurugram +13 other locations
Jarvis Technology and Strategy Consulting,3.3,180,792,24,2,7,3,,"Job Security, Promotions / Appraisal, Company Culture",Management Consulting,New Delhi +38 other locations
Li & Fung,3.9,180,702,6,6,30,,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security",Electrical Equipment,Gurugram +12 other locations
Impact Analytics,3.7,180,1300,70,33,6,,,"Work Life Balance, Job Security, Promotions / Appraisal",IT Services & Consulting,Bengaluru +4 other locations
Blue Rose Technologies,4,180,1000,18,1,12,2,"Salary & Benefits, Work Life Balance, Company Culture",,IT Services & Consulting,Bengaluru +12 other locations
VBeyond Corporation,4,180,759,12,18,19,11,"Company Culture, Work Life Balance, Job Security","Salary & Benefits, Promotions / Appraisal",Recruitment,Lucknow +8 other locations
Virinchi Technologies,3.2,180,1100,20,3,8,,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",IT Services & Consulting,Hyderabad +5 other locations
Nippon Konpo,4.1,180,540,9,,12,,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Logistics,Gurugram +17 other locations
Flowmore,3.6,180,813,18,,15,,,"Job Security, Promotions / Appraisal, Company Culture",Industrial Machinery,Ghaziabad +16 other locations
Apis India Limited,3.6,180,684,10,3,11,,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Food Processing,New Delhi +43 other locations
RT Network Solutions,3.4,180,601,14,2,11,,,"Promotions / Appraisal, Salary & Benefits, Job Security",IT Services & Consulting,Kolkata +33 other locations
Kamdhenu,3.7,180,551,10,8,16,,,"Promotions / Appraisal, Skill Development / Learning, Company Culture",Building Material,Gurugram +45 other locations
Zeon Lifesciences,4,180,686,41,11,13,2,"Work Life Balance, Company Culture, Work Satisfaction",,Fitness & Wellness,Paonta Sahib +6 other locations
Cloudstrats Technologies,3.1,180,357,17,8,11,,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",IT Services & Consulting,Mumbai +12 other locations
SmartSchool Education,4.6,180,436,44,1,49,,"Work Life Balance, Salary & Benefits, Company Culture",,EdTech,Noida +13 other locations
Corient Business Solutions,3.2,181,804,28,12,3,,,"Promotions / Appraisal, Salary & Benefits, Job Security",Accounting & Auditing,Mumbai +8 other locations
Muthoot Mercantile,3.4,183,575,13,5,6,1,,"Promotions / Appraisal, Job Security, Salary & Benefits",NBFC,Thiruvananthapuram +52 other locations
Holy Family Hospital,3.5,180,648,7,24,10,,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Healthcare,New Delhi +12 other locations
Reliance Corporate IT Park,4,180,680,8,,18,2,"Job Security, Company Culture, Work Satisfaction",Promotions / Appraisal,,Mumbai +38 other locations
S kant Healthcare Ltd,4.7,180,491,8,3,8,16,"Company Culture, Work Life Balance, Work Satisfaction",,Pharma,Vapi +8 other locations
Mangal Industries,3.8,180,744,9,,11,,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,Auto Components,Tirupati +19 other locations
Sulphur Mills,3.6,179,823,13,3,21,5,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Agro Chemicals,Mumbai +31 other locations
Aptonline,3.3,179,1100,5,,17,,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Company Culture",IT Services & Consulting,Hyderabad +6 other locations
Swal Corporation,4.2,179,333,10,,10,,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,Agro Chemicals,Pune +78 other locations
Karam Safety,4.2,179,701,6,,1,,"Work Life Balance, Job Security, Skill Development / Learning",,Industrial Machinery,Lucknow +22 other locations
Wepsol,3.6,179,811,9,4,11,,,"Promotions / Appraisal, Salary & Benefits, Job Security",IT Services & Consulting,Bengaluru +22 other locations
Feedback Energy Distribution Company,3.5,179,568,7,,18,,,"Job Security, Promotions / Appraisal, Salary & Benefits",Power,Bhubaneswar +31 other locations
Allset Business Solutions,3.8,179,949,15,,7,,Job Security,Promotions / Appraisal,BPO,Chennai +11 other locations
Birdeye,3.2,179,1000,30,24,8,,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Marketing & Advertising,Gurugram +4 other locations
Donear Industries,3.3,179,808,8,,7,,,"Promotions / Appraisal, Company Culture, Salary & Benefits",Fashion & Textile,Mumbai +19 other locations
